id,nom_categorie
1,*
2,ACCESSOIR
3,ACIER CHROME
4,ACIER INDUCTION/CHROME
5,ACIER LAMINE @ CHAUD
6,ACIER LAMINE @ FROID
7,ACIER TREMPE 01
8,ACIER TREMPE D2
9,ALUMINIUM
10,ANODISATION
11,CABLE
12,COLLE
13,CONSOMMABLE
14,CONTROLE
15,CONTRÔLE
16,CONVOYEUR
17,COUPE
18,COUPE WATER JET
19,CYLINDRE
20,DIE SET ECONOLINE
21,ELECTRONIQUE
22,EPI
23,EXTRUSION
24,GRAVURE
25,HUILE
26,HYDRAULIQUE
27,IDENTIFICATION
28,INSERT
29,LASER
30,LASER + PLIAGE
31,MANUTENTION
32,MEULE
33,MOTOR/GEARBOX
34,OUTIL DE COUPE
35,OUTIL DE MESURE
36,OUTILLAGE
37,PAPETRIE/BUROTIQUE
38,PEINTURE
39,PLAQUÉ/CHROME
40,PLASTIQUE
41,PNEUMATIQUE
42,POINCON
43,QUINCAILLERIE
44,RESSORT
45,ROULEMENT
46,SABLE
47,Stainless Steel
48,TRANSPORT
49,USINAGE
50,VETEMENT
51,VISSERIE
