id,produit_id,dimension1,dimension2,dimension3,longueur,unite
1,1,,,,,po
2,2,,,,,po
3,3,,,,,po
4,4,,,,,po
5,5,,,,,po
6,6,,,,,po
7,7,,,,,po
8,8,,,,,po
9,9,,,,,po
10,10,,,,,po
11,11,,,,,po
12,12,,,,,po
13,13,,,,,po
14,14,,,,,po
15,15,,,,,po
16,16,,,,,po
17,17,,,,,po
18,18,,,,,po
19,19,,,,,po
20,20,,,,,po
21,21,,,,,po
22,22,,,,,po
23,23,,,,,po
24,24,,,,,po
25,25,,,,,po
26,26,,,,,po
27,27,,,,,po
28,28,,,,,po
29,29,,,,,po
30,30,,,,,po
31,31,,,,,po
32,32,,,,,po
33,33,,,,,po
34,34,20,,,240,mm
35,35,0.5,,,240,po
36,36,0.625,,,240,po
37,37,25,,,240,mm
38,38,15,,,240,mm
39,39,30,,,240,mm
40,40,48 X 96,,,,po
41,41,48 X 96,,,,po
42,42,48 X 96,,,,po
43,43,1,1,0.125,240,po
44,44,1.5,"1,5",0.188,240,po
45,45,1.5,"1,500",0.125,240,po
46,46,1.5,"1,500",0.25,240,po
47,47,2,1 1/2,0.188,240,po
48,48,2,2,0.125,240,po
49,49,2,2,0.25,240,po
50,50,2,3,0.188,240,po
51,51,2.5,2,0.188,240,po
52,52,2.5,2,0.375,240,po
53,53,3,3,0.188,240,po
54,54,4,4,25,240,po
55,55,6@15,,,240,po
56,56,8@18.4,,,360,po
57,57,8@18.4,,,480,po
58,58,0.125,1,,240,po
59,59,0.125,"1,5",,240,po
60,60,0.125,2,,240,po
61,61,0.125,"2,5",,240,po
62,62,0.125,3,,240,po
63,63,0.25,"1,000",,240,po
64,64,0.25,"1,500",,240,po
65,65,0.25,2,,240,po
66,66,0.25,"2,500",,240,po
67,67,0.25,3,,240,po
68,68,0.25,3,,240,po
69,69,0.25,"4,000",,244,po
70,70,0.25,"5,000",,244,po
71,71,0.3125,3,,240,po
72,72,0.375,2,,240,po
73,73,0.375,3,,240,po
74,74,0.375,4,,240,po
75,75,0.375,6,,240,po
76,76,0.5,2,,240,po
77,77,0.5,3,,240,po
78,78,0.5,4,,240,po
79,79,0.5,6,,240,po
80,80,0.5,8,,240,po
81,81,4,"5,4",,240,po
82,82,,,,240,po
