ENTREPRISE,ADRESSE,VILLE,CODE POSTAL,CONTACT,TELEPHONE,Poste,Fax,Email
ABRA ELECTRONIQUE,5465 COTE DE LIESSE,MONTREAL,H4P 1A1,WEB,800.361.5237,,,rachel@abra-electronics.com
"ACIER A, MENARD ET FILS",114 RUE MENARD,ST-ALPHONSE,JOE2A0,FREDERIC CARON,1800-363-8923,,,Fred@acier-menard.com
ACIER DRUMMOND,1750 RUE JANELLE,DRUMMONDVILLE,J2C3E5,JONATHAN DIONNE,800-567-3828,,,jdionne@acierdrummond.com>
ACIER VICTORIA,"900, rue de l'Acadie",Victoriaville,G6T 1V1,MARGUERITE,819-758-7575,,,info@aciervictoria.com
AFFUTECH 3000,4330 BL INDUSTRIEL,SHERBROOKE,J1L 2S8,MARC,(819) 822-3373,,819-822-0105,affutech3000@qc.aira.com
AIRMAX,950 ANDRÉ-LINÉ,GRANBY,2J2 1E2,COLIN COTÉ,18887303522,,,ccote@airmax.ca
ALI-EXPRESS,WEB,CARTE DE CREDIT,,,,,,WWW.ALIEXPRESS.COM
ALLSCO,70 RIDEOUT,"MONCTON, NB",E1E 1E2,,,,,
ALTEK,765 Avenue Guy-Poulin,Saint-Joseph-de-Beauce,G0S 2V0,,,,(418) 774-2580,
AMAZON,AMAZON.CA,,,,,,,
ANCHOR DANLY,1450 ALPHONSE D-ROY,MONTREAL,H1W2K8,ANDRE CHAMPAGNE,514-525-5560,,,AChampagne@anchordanly.com
ANNEXAIR,253 DES MENUISIERS,St-Germain de Grantham,J0C 1J0,,,,,
APPLIED TROIS RIVIERES,5965 RUE CORBEIL,"TROIS RIVIERES, QC",G8Z 4T3,Dany Johnston-Marchand,819-840-0489,,819-840-0491,JFERRON@APPLIED.COM
ATELIER D USINAGE POUDRIER,407 Rue de la Jacques Cartier,VICTORIAVILLE,G6P 7E6,CÉDÉRICK LAVALLIERE,,,,vente@usinagepoudrier.ca
Bearings Canada Inc,"71 Marycroft Ave., Unit 12","Woodbridge, Ont",L4L 5Y6,,,,,
BOURRET TRANSPORT,"375, boulevard Lemire, C. P. 816",DRUMMONDVILLE,J2B 8G8,,1 800 567-1470,,,
BUREAU EN GROS,WEB,CARTE DE CREDIT,,,,,,http://www.staples.ca/fr/
BUREAU PRO CITATION,505 BL JUTRAS,VICTORIAVILLE,G6P 7H4,SIMON LEROUX,,,,
BV MACHINERIES,5555 RUE ST-ROCH SUD,DRUMMONDVILLE,J2B 6V4,VINCENT ALLARD,800-567-5858,2201,,vincent.allard@machineriesbv.com
CANAFLEX,1945 HYMUS,DORVAL,H9P 1J8,steven bastien,514-636-9554,,,
CONCEPT CONVOYEUR,3757 BL DU TRICENTENAIRE,MONTREAL,H1B5W3,MATHIEU DEBIEN,514-745-0009,,,info@concept-conv.com
"COWPER Inc,",677 - 7e Avenue,Lachine,H8S 3A1,Claude Kenney,514-637-6746,,514-637-5055,ckenney@cowper.ca
CDW,1700-185 The West Mall,"Etobicoke, on",M9C 5L5,,,,,
DAEMAR INC,548 Meloche,Dorval,H9P 2T2,Frank Figsby,800.361.6826,,514.636.3113,ffigsby@daemarinc.com
Detekta Solutions,445 av. ST-JEAN BAPTISTE LOCAL 360,QUEBEC,G2E 5N7,YVES TRUDEL,1-877-871-6829,,,yves.trudel@detekta.ca
DESSIN INDUSTRIEL DP,14 RUE RICHELIEU,VICTORIAVILLE,G6P 2B4,DOMINIC POTVIN,819-350-7731,,,dominicpotvin@gmail.com
digikey,web,,,,,,,
EBAY,PAY PALL,,,DOMINIC POTVIN,,,,
ELECTRO TECHNO,2055 RUE ROY,SHERBROOKE,J1K1B8,REPAIR,1 866 566-5151,,,service@electrotechno.com
Electrosonic,,,,,,,,
FASTENAL,241 Boulevard Labbe Nord,Victoriaville,G6P1A7,Michael Neron-Provencher,819-752-4203,,,mneronpr@fastenal.com
FENERGIC,7 RUE THIBAULT,Warwick,J0A 1M0,,,,,
FENOMAX,1115 INDUSTRIEL,MONT LAURIER,J9L 3V6,,819-623-1271,,,
FUTUR CARB,1092 CH ELY,Melbourne,J0B 2H0,Eric,819-826-1602,,819-826-2131,
FUTECH,"2135 Rue Sigouin,",Drummondville,,,,,,
GLOBAL WINDOWS,,,,,,,,
Grainger,https://www.grainger.com,,,,,,,
GROUPE POLYALTO,3825 RUE JEAN MARCHAND,QUEBEC,G2C 2J2,MARIE ANDREE,418-847-8311,2242,,ma.myrand@polyalto.com
HYDRO COUPE CRC,100 RUE DES PME,SHERBROOKE,J1C 0R2,ISABELLE MORISETTE,819-846-1990,,,info@hydrocoupecrc.com
IAC & ASSOCIATES INC,2105 FASAN DRIVE,"OLDCASTLE, ON",N0R1L0,MARC ANDRE,1-800-711-1900,,,marc-andre@iacinc.ca
INTERNE,,,,,,,,
