id,description,categorie_id,description_sommaire,prix_liste,prix_unitaire,quantite_min,date_mise_a_jour,fournisseur_id,code_fournisseur
1,*,1,,,,,,,-
2,*,1,,,,,,,-
3,*,1,,,,,,,-
4,*,1,,,,,,,-
5,*,1,,,,,,,-
6,*,1,,,,,,,-
7,*,1,,,,,,,-
8,*,1,,,,,,,-
9,ACCESSOIR    ARMOIR ACIER BEIGE 5 TABLETTE,2,ARMOIR ACIER BEIGE 5 TABLETTE,,,,,,-
10,ACCESSOIR    ARMOIR DESSERTE,2,ARMOIR DESSERTE,,,,,,-
11,ACCESSOIR    CAFETIERE,2,CAFETIERE,,,,,,-
12,ACCESSOIR    CHAISE DE TABLE,2,CHAISE DE TABLE,,,,,,-
13,ACCESSOIR    CLAMP WASHER DEWALT,2,CLAMP WASHER DEWALT,60.78,,,2018-05-08,,619688-00
14,ACCESSOIR    CLASSEUR D ATELIER 4 TIRROIRE,2,CLASSEUR D ATELIER 4 TIRROIRE,,,,,,
15,ACCESSOIR    DRUM POUR HUILE A TREMPE,2,DRUM POUR HUILE A TREMPE,,,,,,
16,ACCESSOIR    ETAGERE EN ACIER BLEU,2,ETAGERE EN ACIER BLEU,,,,,,
17,ACCESSOIR    ETAGERE EN ACIER ORANGE,2,ETAGERE EN ACIER ORANGE,,,,,,
18,ACCESSOIR    ETAGERE POUR ACIER (ARBRE DE NOEL),2,ETAGERE POUR ACIER (ARBRE DE NOEL),,,,,,
19,ACCESSOIR    FRIGO,2,FRIGO,,,,,,
20,"ACCESSOIR    GASKET DE CYLINDRE 8"" TA-ME3-8X2.5-KK1",2,"GASKET DE CYLINDRE 8"" TA-ME3-8X2.5-KK1",132.8,,,2019-10-25,,SK137-800 KIT
21,ACCESSOIR    INNER WASHER DEWALT,2,INNER WASHER DEWALT,122,,,2018-05-08,,613801-00
22,ACCESSOIR    KIT DE GASKET POUR MSR-MF1-6X2X2S,2,KIT DE GASKET POUR MSR-MF1-6X2X2S,142.4889,,,2021-05-17,,MSESK137-600-2S SEAL KIT
23,ACCESSOIR    MICRO-ONDE,2,MICRO-ONDE,,,,,,
24,ACCESSOIR    NUT POUR FLANGE DEWALT,2,NUT POUR FLANGE DEWALT,9.19,,,2018-05-08,,093290-00
25,ACCESSOIR    SCREW 1-72 oval x .090 LG.-T6 #195010 VENDU QTE 5 (POUR PASTILLECDCD),2,SCREW 1-72 oval x .090 LG.-T6 #195010 VENDU QTE 5 (POUR PASTILLECDCD),3.83,,,2019-10-29,,50182
26,ACCESSOIR    SPLIT LOOM TUBING 1 1/2''DIA. 50 PIEDS TECHSPAN,2,SPLIT LOOM TUBING 1 1/2''DIA. 50 PIEDS TECHSPAN,49.14,,,2018-08-23,,769879
27,ACCESSOIR    TABLE D ASSEMBLAGE,2,TABLE D ASSEMBLAGE,,,,,,
28,ACCESSOIR    TABLE D ASSEMBLAGE BASSE,2,TABLE D ASSEMBLAGE BASSE,,,,,,
29,ACCESSOIR    TABLE DE REPOS,2,TABLE DE REPOS,,,,,,
30,ACCESSOIR    TABLE DE SCIE A MEULE,2,TABLE DE SCIE A MEULE,,,,,,
31,ACCESSOIR    TABLE POUR FOUR,2,TABLE POUR FOUR,,,,,,
32,ACCESSOIR    TABLE POUR SABLEUSE,2,TABLE POUR SABLEUSE,,,,,,
33,ACCESSOIR    TEST,2,TEST,,,,,,-
34,ACIER CHROME    ROND MM    20            240,3,ROND MM,196.32,,,2021-06-14,,27487
35,ACIER INDUCTION/CHROME    ROND    0.5            240,4,ROND,110.4,,,2019-08-16,,31129
36,ACIER INDUCTION/CHROME    ROND    0.625            240,4,ROND,174.48,,,2021-06-07,,79928
37,ACIER INDUCTION/CHROME    ROND  MM    25            240,4,ROND  MM,271.68,,,2021-11-12,,82862
38,ACIER INDUCTION/CHROME    ROND MM    15            240,4,ROND MM,132.4,,,2021-06-14,,00816
39,ACIER INDUCTION/CHROME    ROND MM    30            240,4,ROND MM,359.76,,,2021-06-14,,82532
40,ACIER LAMINE @ CHAUD    1/2 -20F DÉPLOYÉ APLATI    48 X 96,5,1/2 -20F DÉPLOYÉ APLATI,139,,,2021-08-04,,26245
41,ACIER LAMINE @ CHAUD    1/4 -20F DÉPLOYÉ APLATI    48 X 96,5,1/4 -20F DÉPLOYÉ APLATI,255,,,2021-08-04,,59484
42,ACIER LAMINE @ CHAUD    1-1/2 #10 metal déployé    48 X 96,5,1-1/2 #10 metal déployé,151,,,2021-08-18,,09917
43,ACIER LAMINE @ CHAUD    CORNIERE    1    1    0.125    240,5,CORNIERE,13.112,,,2021-06-07,,38524
44,"ACIER LAMINE @ CHAUD    CORNIERE    1.5    1,5    0.188    240",5,CORNIERE,21.69,,,2018-05-02,,38642
